id,question,original_answer,audit_status,support_method,support_pos,match_detail,revised_answer,revised_note,support_excerpt
1,Atatürk Nutuk'u hangi tarihte okumuştur ve konuşması kaç gün sürmüştür?,"Atatürk, Nutuk'u 15 Ekim 1927 Cumartesi günü Cumhuriyet Halk Fırkası'nın II. Büyük Kongresi'nde okumuştur. Konuşması altı gün sürmüş ve günde altışar saatten toplam 36 saat 31 dakika konuşmuştur.",partial_substring_support,answer_ngram_search,10632,cumartesi günü cumhuriyet halk fırkası,,,"celeme ve açıklama çabasının bir gereğidir. Nutuk, Atatürk'ün önderlik ettiği devrimin en önemli belgesidir. Devrimi, devrimin önderi incelemektedir. Atatürk, Nutuk'u 15 Ekim 1927 Cumartesi günü Cumhuriyet Halk Fırkası'nın II. Büyük Kongresi'nde okumuştur. Kürsüye Cumhuriyet Ha"
2,Nutuk'u okurken Atatürk hangi sıfatla kürsüye çıkmıştır?,"Kürsüye Cumhuriyet Halk Fırkası Reisi Umumisi, bugünkü dille Cumhuriyet Halk Partisi Genel Başkanı olarak çıktı.",exact_quote_or_near,answer_substring,10707,,,,"ği devrimin en önemli belgesidir. Devrimi, devrimin önderi incelemektedir. Atatürk, Nutuk'u 15 Ekim 1927 Cumartesi günü Cumhuriyet Halk Fırkası'nın II. Büyük Kongresi'nde okumuştur. Kürsüye Cumhuriyet Halk Fırkası Reisi Umumisi, bugünkü dille Cumhuriyet Halk Partisi Genel Başkanı olarak çıktı. Saat 10.00'da başlayan konuşması altı gün sürdü. Günde "
3,Atatürk Nutuk'u bitirip Gençliğe Hitabe'yi söylediğinde saat kaçtı?,Son gün 20 Ekim 1927'de altı oturum yapılmış ve Gençliğe Hitabe'yi söyleyip kürsüden indiğinde saat 20.25'ti.,partial_substring_support,answer_ngram_search,10977,söyleyip kürsüden indiğinde saat,,,"el Başkanı olarak çıktı. Saat 10.00'da başlayan konuşması altı gün sürdü. Günde altışar saatten 36 saat 31 dakika konuştu. Son gün, 20 Ekim 1927'de altı oturum yapıldı. Gençliğe Hitabe'yi söyleyip kürsüden indiğinde saat 20.25'ti. Mustafa Kemal söze ""1919 senesi Mayıs'ını"
4,Mustafa Kemal Nutuk'a hangi sözlerle başlamıştır?,Mustafa Kemal söze '1919 senesi Mayıs'ının 19. günü Samsun'a çıktım. Genel vaziyet ve manzara...' diye başlamıştır.,partial_substring_support,answer_ngram_search,11019,mustafa kemal söze 1919 senesi,,,"layan konuşması altı gün sürdü. Günde altışar saatten 36 saat 31 dakika konuştu. Son gün, 20 Ekim 1927'de altı oturum yapıldı. Gençliğe Hitabe'yi söyleyip kürsüden indiğinde saat 20.25'ti. Mustafa Kemal söze ""1919 senesi Mayıs'ının 19. günü Samsun'a çıktım. Genel vaziye"
5,24 Nisan 1920'de Atatürk hangi konuda bir konuşma yapmıştır?,"Tıpkı Büyük Millet Meclisi'nin açıldığının ertesi günü, 24 Nisan 1920'de yaptığı ""Mondros Mütarekesi'nden Meclis'in açılmasına kadar geçen zaman zarfında cereyan eden siyasi olaylar"" hakkındaki konuşması gibi.",exact_quote_or_near,answer_substring,11589,,,,"şmalar yapmıştır. Amaç, atılacak adımların daha sağlam zemine oturmasını güvence altına almaktır. Geçmişteki pürüzler düzeltilir, hesaplar kapatılır, geleceğe uygun adım yürünür. Nutuk da böyle bir konuşmadır. Tıpkı Büyük Millet Meclisi'nin açıldığının ertesi günü, 24 Nisan 1920'de yaptığı ""Mondros Mütarekesi'nden Meclis'in açılmasına kadar geçen zaman zarfında cereyan eden siyasi olaylar"" hakkındaki konuşması gibi. Ve yine saltanatın kaldır"
6,Saltanatın kaldırılışından sonra Atatürk hangi şehirlerde konuşmalar yapmıştır?,Saltanatın kaldırılışından sonra 15 Ocak 1923'te Eskişehir'de başlayıp en son İzmit'te cumhuriyetin esaslarını saptayan uzun konuşmalar yapmıştır.,partial_substring_support,answer_ngram_search,11891,cumhuriyetin esaslarını saptayan uzun konuşmalar,,,"tarekesi'nden Meclis'in açılmasına kadar geçen zaman zarfında cereyan eden siyasi olaylar"" hakkındaki konuşması gibi. Ve yine saltanatın kaldırılışından sonra 15 Ocak 1923'te Eskişehir'de başlayıp en son İzmit'te cumhuriyetin esaslarını saptayan uzun konuşmaları gibi .2 Nutuk metnini biz"
7,Nutuk okunurken vesikalar kim tarafından okunmuştur?,"Vesika sunuşlarına sıra geldiğinde Atatürk her vesikayı kürsüden, Kongre'de kâtiplik yapan Ruşen Eşref (Ünaydın) Bey'e uzatmış ve okumasını rica etmiştir.",exact_quote_or_near,answer_substring,11987,,,,"ndaki konuşması gibi. Ve yine saltanatın kaldırılışından sonra 15 Ocak 1923'te Eskişehir'de başlayıp en son İzmit'te cumhuriyetin esaslarını saptayan uzun konuşmaları gibi .2 Nutuk metnini bizzat Atatürk okumuştur. Vesika sunuşlarına sıra geldiğinde Atatürk her vesikayı kürsüden, Kongre'de kâtiplik yapan Ruşen Eşref (Ünaydın) Bey'e uzatmış ve okumasını rica etmiştir. Mebusların ve vilaye"
8,Cumhuriyet Halk Fırkası Kongresi kaç gün sürmüştür ve kimler izlemiştir?,Kongre 15-23 Ekim 1927 tarihleri arasında dokuz gün sürmüştür. Dinleyici olarak askeri erkândan başka yabancı devlet temsilcileri de Kongre'yi izlemiştir.,exact_quote_or_near,answer_substring,12186,,,,"türk okumuştur. Vesika sunuşlarına sıra geldiğinde Atatürk her vesikayı kürsüden, Kongre'de kâtiplik yapan Ruşen Eşref (Ünaydın) Bey'e uzatmış ve okumasını rica etmiştir. Mebusların ve vilayet delegelerinin oluşturduğu Kongre, 15-23 Ekim 1927 tarihleri arasında dokuz gün sürmüştür. Dinleyici olarak askeri erkândan başka yabancı devlet temsilcileri de Kongre'yi izlemiştir. Atatürk'ün Nutuk'"
9,Nutuk'tan sonra kim ve ne önermiştir?,"Atatürk'ün Nutuk'undan sonra, Erzurum Mebusu Necip Asım (Yazıksız) Bey, Gazi Mustafa Kemal Hazretleri'nin Milli Mücadele ve İnkılap Tarihimiz hakkındaki beyanat ve izahatının tamamen ve harfiyen tasvip edilmesini önermiştir.",partial_substring_support,answer_ngram_search,12518,nkılap tarihimiz hakkındaki beyanat,,,"vlet temsilcileri de Kongre'yi izlemiştir. Atatürk'ün Nutuk'undan sonra, Erzurum Mebusu Necip Asım (Yazıksız) Bey şu önergeyi sunmuştur: ""Fırkamızın Umumi Reisi, Reisicumhur Gazi Mustafa Kemal Hazretleri'nin Milli Mücadele ve İnkılap Tarihimiz hakkındaki beyanat ve izahatını"
10,Necip Asım Bey'in önergesi nasıl karşılandı?,Önerge oybirligiyle kabul edilmiş ve bütün Kongre üyeleri tarafından tek tek imzalanmıştır.,exact_quote_or_near,answer_substring,12920,,,,"temin eden Gazi Hazretleri'nin Nutuk'larının tamamen ve harfiyen tasvip edilmesini ve millet namına Kongre Genel Kurulu'nun imzalarıyla yazılı olarak teşekkür ve takdirler sunulmasını Büyük Kongre'ye arz ve teklif ederim, efendim."" Önerge oybirligiyle kabul edilmiş ve bütün Kongre üyeleri tarafından tek tek imzalanmıştır. Nutuk'"
11,Nutuk'un taslağı nerede bulunmaktadır?,Nutuk'un taslağı TC Genelkurmay Askeri Tarih ve Stratejik Etüt Başkanlığı (ATASE) Arşivi'nde bulunmaktadır.,exact_quote_or_near,answer_substring,13011,,,,"t namına Kongre Genel Kurulu'nun imzalarıyla yazılı olarak teşekkür ve takdirler sunulmasını Büyük Kongre'ye arz ve teklif ederim, efendim."" Önerge oybirligiyle kabul edilmiş ve bütün Kongre üyeleri tarafından tek tek imzalanmıştır. Nutuk'un taslağı TC Genelkurmay Askeri Tarih ve Stratejik Etüt Başkanlığı (ATASE) Arşivi'nde bulunmaktadır. Ata"
12,Nutuk'un önemli bir bölümü nerede kaleme alınmıştır?,"Nutuk'un önemli bir bölümü Ankara'da Çankaya'daki çalışma odasında kaleme alınmış, son bölümleri İstanbul'da Dolmabahçe Sarayı'nda yazılmıştır.",exact_quote_or_near,answer_substring,13485,,,,"ır. Büyük Devrimci Önder, hazırlık aşamasında, toplanan yüzlerce vesikayı tek tek elden geçirmiş ve düzenlemiştir. Ayrıca kişilerin bilgisine başvurulmuştur. Atatürk, yazdıklarını ilgili kişilere okuyup saatlerce tartışmış ve son şekli vermiştir. Nutuk'un önemli bir bölümü Ankara'da Çankaya'daki çalışma odasında kaleme alınmış, son bölümleri İstanbul'da Dolmabahçe Sarayı'nda yazı"
13,Baskıya giden Nutuk metni nerede bulunmaktadır?,Bütün bu çalışmaların ürünü olarak baskıya giden metin Türk Hava Kurumu Müzesi'nde bulunmaktadır.,exact_quote_or_near,answer_substring,13628,,,,"aşvurulmuştur. Atatürk, yazdıklarını ilgili kişilere okuyup saatlerce tartışmış ve son şekli vermiştir. Nutuk'un önemli bir bölümü Ankara'da Çankaya'daki çalışma odasında kaleme alınmış, son bölümleri İstanbul'da Dolmabahçe Sarayı'nda yazılmıştır. Bütün bu çalışmaların ürünü olarak baskıya giden metin Türk Hava Kurumu Müzesi'nde bulun"
